,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,label
245,Yam12_Sue_0316_1,4,7,0.0009860816644504666,-6.9217713828050815,0.9970216913905812,0.9969214244422048,-0.00010026694837650396,46.125457170838146,42.720065918131155,-3.405391252706992,3.1622776601683795,-0.10926558861974726,-0.16198737449348968,0.05272178587374242,23.15967864858213,21.90531781136571,-1.2543608372164208,1.4142135623730951,1.4142135623730951,0.0,3.1622776601683795,3.1622776601683795,0,0,1
246,Sat13_cho_0303_3,4,113,0.002213606610894203,-6.113132143006045,0.00028645347557232364,0.00031101663233634724,2.4563156764023653e-05,-29.02186320429165,-29.32451120426473,-0.30264799997308245,4.47213595499958,-0.999578119124528,-0.9995767978728464,-1.3212516816185629e-06,3.1668989235898617,3.306394304955916,0.13949538136605402,3.0,3.0,0.0,4.47213595499958,4.47213595499958,0,0,0
247,Oon02_Kob_0329_2,2,3,0.001,-6.907755278982138,0.9942810285548898,0.9933408937054952,-0.0009401348493944807,25.35919411415116,24.124257029298487,-1.2349370848526675,5.0,0.13267255374952114,0.13784083591552654,-0.0051682821660053715,17.169348243551898,17.37150970111964,0.2021614575677404,1.0,1.0,0.0,5.0,5.0,0,0,1
248,Oon07_cho_0329_7,2,65,0.1444956511259079,-1.9345058678970224,0.9599914627514604,0.9132169994724684,-0.04677446327899204,14.523011054615665,5.010698248516942,-9.512312806098722,1.4142135623730951,0.01693084647982181,0.4076086766456916,-0.39067783016586977,14.553789119100529,9.657686767306737,-4.896102351793791,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,3,4,0
249,Sat15_Sue_0304_1,4,31,0.002826872281730175,-5.868584379313817,0.9957416785514456,0.9939237430746448,-0.0018179354768004246,33.57378009602063,28.90028241679833,-4.673497679222294,4.47213595499958,-0.24293355508806666,-0.09540117178649753,-0.14753238330156915,17.648207970959554,17.923308903896693,0.2751009329371357,1.0,1.0,0.0,4.47213595499958,4.47213595499958,1,0,1
250,Tak10_cho_0329_3,2,49,0.0008751938585191965,-7.0410651435524425,0.9916725519144024,0.9808333594156275,-0.010839192498774741,9.959117894030404,8.234706769378013,-1.7244111246523897,8.06225774829855,0.04243143573217354,0.07358158479313666,-0.031150149060963125,9.935572862978589,10.401132492582368,0.4655596296037832,1.0,1.0,0.0,8.06225774829855,8.06225774829855,0,0,0
251,Yas17_cho_0328_17,2,67,0.001,-6.907755278982138,0.9953650834772412,0.9953185293541676,-4.65541230735278e-05,34.38844870452237,23.445210245215996,-10.943238459306375,6.324555320336759,0.9780057683797992,0.9692806820104104,0.008725086369388846,10.50787471174835,10.996024007734816,0.4881492959864655,1.0,1.0,0.0,6.324555320336759,6.324555320336759,7,6,0
252,Oon03_Sue_0329_3,2,59,0.001,-6.907755278982138,0.9937897698225402,0.995619964345566,0.0018301945230259078,20.180966863654834,13.022795933482444,-7.158170930172392,11.180339887498949,-0.7952985481582651,-0.5332740782607797,-0.2620244698974853,8.642179527294577,7.748552797647339,-0.8936267296472371,1.0,1.0,0.0,11.180339887498949,11.180339887498949,2,0,0
253,Sat03_Sue_0301_1,4,11,0.1261477768421173,-2.0703012271806225,0.9971332535045848,0.9970210532215512,-0.00011220028303382534,46.885615785854604,45.743135003049666,-1.142480782804931,0.0,0.4258450377821525,0.4258585434221614,-1.3505640008903974e-05,23.430526900715194,23.036892709103327,-0.3936341916118629,2.0,2.0,0.0,0.0,0.0,0,0,0
254,Tak15_Sue_0329_8,2,7,0.001,-6.907755278982138,0.9935106405074444,0.9934072732653814,-0.00010336724206316816,25.39347969064575,25.173971729179872,-0.21950796146587948,0.0,0.8970145345942441,0.9581920876563521,-0.06117755306210804,17.754574641667052,17.73013011793694,-0.024444523730110745,1.0,1.0,0.0,0.0,0.0,0,0,0
255,Yas07_cho_0328_7,2,73,0.03608564287424088,-3.321860197063294,0.9978128255197588,0.9973688445254236,-0.0004439809943352913,54.44990071955354,53.3636170995998,-1.0862836199537398,0.0,0.9989966643996786,0.9989298387583834,6.682564129523173e-05,17.674007953899487,20.27870801249281,2.604700058593324,1.0,1.0,0.0,0.0,0.0,0,0,0
256,Yam13_cho_0316_2,4,79,0.037044551223516464,-3.2956340035473644,0.001007635129320117,0.0009441454754437473,-6.348965387636962e-05,-7.245636325696527,-9.031614943947023,-1.7859786182504944,9.486832980505138,-0.9868082757388854,-0.951032184106946,-0.0357760916319394,3.7970790904860894,4.271962414866516,0.4748833243804262,9.219544457292887,9.219544457292887,0.0,9.486832980505138,9.486832980505138,0,1,0
257,Oon13_cho_0329_13,2,31,0.0042124157771468145,-5.469718977059182,0.9915991997890434,0.981722293066674,-0.009876906722369405,16.66804887675138,14.314710012659305,-2.3533388640920787,8.54400374531753,-0.7785271693415059,-0.7275712644223591,-0.05095590491914692,14.167267203960455,14.237396707566875,0.07012950360642023,1.4142135623730951,1.4142135623730951,0.0,8.54400374531753,8.54400374531753,0,1,1
258,Yas04_Kob_0328_4,2,59,0.0013928435510024428,-6.576407901329963,0.9818497064563472,0.8238000188830864,-0.15804968757326074,10.480705686808305,4.12902278225061,-6.351682904557692,6.324555320336759,0.3237225893268225,-0.2013456311722616,0.525068220499084,10.500158611109164,11.447866702237349,0.9477080911281828,6.0,6.0,0.0,6.324555320336759,6.324555320336759,2,4,1
259,Yas08_Kob_0328_8,2,75,0.048826858401298516,-3.0194747404491595,0.9465488311979421,0.9397939866606524,-0.0067548445372895855,3.2623240036087107,2.872621137638676,-0.38970286597003495,1.4142135623730951,0.9619277826594892,0.96173640310992,0.00019137954956904848,6.323110097372018,6.113829014785633,-0.20928108258638373,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,0,0,0
260,Yas18_Kob_0328_18,2,55,0.002203431911766529,-6.1177391741975296,0.1995170717859016,0.1961637699422557,-0.0033533018436459057,-11.973952290277355,-11.924325431235808,0.04962685904154896,0.0,-0.5111217154455776,-0.5097404368513501,-0.0013812785942275418,21.27575309542387,21.14094341282521,-0.13480968259866088,2.0,2.0,0.0,0.0,0.0,0,0,0
261,Sat09_Sue_0302_3,4,23,0.0008390282746404409,-7.083266151659143,0.9968048501102912,0.9967271867565204,-7.766335377090705e-05,25.77602928866049,24.194882112407928,-1.5811471762525675,3.0,-0.793801538958166,-0.7972185366773352,0.003416997719169257,13.007899998377795,13.752016799537506,0.7441168011597092,1.0,1.0,0.0,3.0,3.0,0,0,0
262,Yas07_cho_0328_7,2,1,0.001,-6.907755278982138,0.9941646091543884,0.9935033365695978,-0.0006612725847906509,26.899448342241964,26.216045098432225,-0.6834032438097388,9.219544457292887,0.7075269160735026,0.5068385364274237,0.20068837964607888,18.08587021748588,18.139182140168728,0.05331192268284468,10.0,10.0,0.0,9.219544457292887,9.219544457292887,0,0,0
