name,handi,move,wrbefore,wrafter,wrdiff,shaperat,shapelog,pntavebf,pntaveaf,pntavediff,pntstdbf,pntstdaf,pntstddiff,dist01,dist12,dist20,dist0b,dist1b,dist2b,lastown1,afterown1,diffown1,lastown2,afterown2,diffown2,bdec30,bdecsum,wdec30,wdecsum,label1,label2,rand
Kat04_Sue_0326_1,4,39,0.317412,0.32663,0.009218,8.909243289,18.44079587,20.4483,16.2356,-4.2127,41.4638,37.5196,-3.9442,3.605551275,1.414213562,4.123105626,3.16227766,1,1,61,96,35,36,35,-1,0,58,0,55,bad,SOPPO,0.471590582
Kat04_Sue_0326_1,4,43,0.318499,0.423541,0.105042,0.054756523,13.65880528,18.4531,11.1765,-7.2766,40.0001,39.061,-0.9391,2.236067977,3,1.414213562,1,2,1,62,94,32,40.75,41.25,0.5,0,170,1,98,bad,SOPPO,0.93001602
Kat04_Sue_0326_1,4,47,0.431205,0.548388,0.117183,0.218266796,14.83094991,11.4173,1.08176,-10.33554,41.03,35.4858,-5.5442,1.414213562,5,4.123105626,2.236067977,3.605551275,2.828427125,78,93,15,40.875,25.875,-15,0,188,0,90,bad,SOPPO,0.283858429
Kat04_Sue_0326_1,4,49,0.548388,0.595496,0.047108,14.34385167,21.35262243,1.08176,-3.04545,-4.12721,35.4858,33.2402,-2.2456,1,4.472135955,5.385164807,5.385164807,4.472135955,0,25,12,-13,44.375,25.125,-19.25,0,33,1,157,bad,SOPPO,0.332254408
Kat04_Sue_0326_1,4,55,0.685615,0.857281,0.171666,1.647892729,16.03594372,-6.20301,-18.0214,-11.81839,33.1638,26.0694,-7.0944,3.605551275,6.403124237,7.615773106,2.236067977,4,9.433981132,4,8,4,47.5,38.625,-8.875,0,6,2,84,bad,SOPPO,0.633453182
Kat04_Sue_0326_1,4,59,0.866065,0.882852,0.016787,0.003079161,12.34311786,-17.8194,-22.8789,-5.0595,25.8685,26.3324,0.4639,6.403124237,6.708203932,1.414213562,1,7.211102551,1,5,10,5,69.5,51.375,-18.125,1,78,2,137,bad,SOPPO,0.711424745
Koi01_cho_0328_1,2,13,0.39112,0.38708,-0.00404,4.061865151,18.0850603,11.1055,12.463,1.3575,44.1856,46.8497,2.6641,1,1.414213562,1,1,0,1.414213562,67,83,16,54.75,59.75,5,0,18,0,30,bad,KATACHI,0.999081038
Koi01_cho_0328_1,2,29,0.471095,0.498368,0.027273,14.55082666,19.65406116,4.05231,0.692201,-3.360109,48.2395,48.7983,0.5588,2.236067977,1,2,2,1,0,55,69,14,57.375,47.875,-9.5,0,14,0,38,bad,KATACHI,0.967426164
Koi01_cho_0328_1,2,31,0.498368,0.498225,-0.000143,39.17875779,20.33265826,0.692201,0.3562,-0.336001,48.7983,48.139,-0.6593,1,2,1,1,2,0,49,62,13,57.125,50.25,-6.875,0,51,0,28,bad,KATACHI,0.976375068
Koi01_cho_0328_1,2,33,0.498225,0.491711,-0.006514,28.41203336,19.47097504,0.3562,2.40404,2.04784,48.139,45.3907,-2.7483,4.123105626,7.615773106,6.08276253,4.123105626,0,7.615773106,48,60,12,44.25,33,-11.25,0,73,1,95,bad,POKA,0.324985745
Koi01_cho_0328_1,2,41,0.515943,0.533331,0.017388,18.08257775,19.82438816,0.310585,-1.322,-1.632585,49.0163,48.6736,-0.3427,3.16227766,2.236067977,2.236067977,3.16227766,0,2.236067977,44,71,27,41.875,24.75,-17.125,0,81,0,95,bad,CHIISAI,0.006851805
Koi01_cho_0328_1,2,43,0.533331,0.556376,0.023045,3.008104671,17.39090771,-1.322,-5.23728,-3.91528,48.6736,46.8455,-1.8281,2.236067977,1,2.828427125,2.828427125,1,0,29,47,18,36.5,39.625,3.125,0,59,0,29,bad,KATACHI,0.779656724
Koi02_Kob_0328_2,2,25,0.460204,0.469601,0.009397,21.17781007,19.86519247,4.52756,3.76646,-0.7611,46.486,43.447,-3.039,2.236067977,4,5.385164807,2.236067977,0,4,57,87,30,56.125,50.75,-5.375,0,57,0,95,bad,KATACHI,0.718212667
Koi02_Kob_0328_2,2,41,0.505532,0.500123,-0.005409,2.198093078,17.66525638,1.76013,2.92741,1.16728,51.7442,49.6706,-2.0736,8.544003745,2,6.708203932,8.544003745,0,2,48,80,32,39.75,33,-6.75,0,64,0,60,bad,SOPPO,0.331686791
Koi02_Kob_0328_2,2,45,0.466943,0.517728,0.050785,0.698717864,15.8948881,5.50434,2.56904,-2.9353,55.1914,46.2394,-8.952,6.403124237,9.486832981,4.123105626,4.123105626,9.486832981,0,43,87,44,44.25,20.5,-23.75,0,155,0,242,bad,SOPPO,0.070284979
Koi02_Kob_0328_2,2,51,0.508267,0.498819,-0.009448,1.024044721,16.84849324,2.47749,6.12907,3.65158,44.3731,49.6596,5.2865,1,2.236067977,1.414213562,10.44030651,9.486832981,11.70469991,11,44,33,17.6,17.2,-0.4,0,22,0,18,bad,POKA,0.675863862
Koi02_Kob_0328_2,2,53,0.498819,0.548317,0.049498,28.15681259,21.12294608,6.12907,-0.22953,-6.3586,49.6596,48.5882,-1.0714,3,2,1,11.70469991,8.94427191,10.77032961,37,46,9,25.75,20.5,-5.25,0,11,0,30,bad,POKA,0.565319763
Koi02_Kob_0328_2,2,55,0.548317,0.555014,0.006697,58.61458762,21.4857521,-0.22953,-0.70905,-0.47952,48.5882,48.7933,0.2051,2.236067977,1,3.16227766,5.099019514,4.123105626,4.472135955,46,48,2,35.75,29.5,-6.25,0,126,0,127,bad,POKA,0.457990572
Koi02_Kob_0328_2,2,57,0.555014,0.565563,0.010549,76.22934831,21.87576789,-0.70905,-2.23314,-1.52409,48.7933,47.0387,-1.7546,1.414213562,1,1,1.414213562,0,1,30,29,-1,32.125,30.125,-2,0,106,0,110,bad,POKA,0.172503695
Koi02_Kob_0328_2,2,59,0.565563,0.602116,0.036553,0.032943964,14.24735531,-2.23314,-9.60474,-7.3716,47.0387,47.4943,0.4556,5.830951895,5.385164807,10.04987562,10.04987562,5.385164807,0,24,71,47,56.5,50.125,-6.375,0,76,0,86,bad,SOPPO,0.455655895
