,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
715,715,Sat17_cho_0304_3,4,45,0.000570144853554666,-7.469620100377719,0.9811579204470194,0.9621130200679,-0.019044900379119545,8.646286226209213,7.799416915834602,-0.8468693103746112,6.4031242374328485,-0.4853843192710306,0.7137228482230785,-1.1991071674941092,4
716,716,Sat17_cho_0304_3,4,49,0.011654602363705635,-4.452054124304596,0.7420987224533768,0.2567714160890895,-0.4853273063642874,2.959899756236448,-0.7179335802353997,-3.677833336471848,9.899494936611664,-0.5397411302086971,0.9548333414238539,-1.4945744716325509,2
717,717,Sat17_cho_0304_3,4,15,0.46130225062370295,-0.7737018095581568,0.9963491520305126,0.9962122487988536,-0.00013690323165893578,39.77693888189519,37.662188850182865,-2.114750031712319,2.23606797749979,0.5137452361076097,0.6889354113523817,-0.17519017524477198,5
718,718,Yam15_Sue_0316_4,4,63,0.00586288794875145,-5.139112972772072,0.005915965410188129,0.005221430694060558,-0.0006945347161275706,-8.240506199456178,-12.239500978011275,-3.998994778555096,2.8284271247461903,0.9855171180563504,0.983431795372258,0.002085322684092339,5
719,719,Yam15_Sue_0316_4,4,31,0.000917241268325597,-6.994140014179374,0.9912867142030112,0.980735320985762,-0.010551393217249185,23.83346844278323,16.714746296550082,-7.118722146233143,6.0827625302982185,0.7854549970380725,0.5096746961945585,0.27578030084351396,5
720,720,Yam15_Sue_0316_4,4,65,0.0007529642898589372,-7.191492755115037,0.009409931071488131,0.004854952881791386,-0.0045549781896967465,-8.72826245279563,-12.055036405878509,-3.3267739530828795,5.0,-0.9808976235010322,-0.7038558776952462,-0.27704174580578605,1
721,721,Yam15_Sue_0316_4,4,5,0.001,-6.907755278982138,0.9968921416818872,0.9968041924372442,-8.794924464305964e-05,44.11804218461854,39.476098202406675,-4.6419439822118695,7.071067811865476,0.26833747219756643,0.2756096280794469,-0.007272155881880459,3
722,722,Yam15_Sue_0316_4,4,29,0.001,-6.907755278982138,0.9933277482005896,0.9911854633533624,-0.002142284847227227,25.17087012249001,22.42405041237368,-2.746819710116327,6.0827625302982185,0.6822958960695293,0.8785620333762434,-0.19626613730671405,3
723,723,Yam15_Sue_0316_4,4,59,0.0006269912119023503,-7.374578033534283,0.15305931367883896,0.010822891158294157,-0.1422364225205448,-3.613631454621973,-11.093050074687524,-7.47941862006555,7.071067811865476,-0.9148035480205984,0.972595594162876,-1.8873991421834744,0
724,724,Yam15_Sue_0316_4,4,89,0.002796488115563989,-5.879390893465287,0.002827160963330799,0.0020607861008036248,-0.0007663748625271749,-5.236719175200537,-9.64841050714849,-4.411691331947955,10.816653826391967,-0.9974400622996612,-0.9786282133130334,-0.01881184898662791,3
725,725,Yam15_Sue_0316_4,4,87,0.0011795382015407085,-6.742632271730289,0.002764999341066776,0.0020883913478829674,-0.0006766079931838088,-5.2648803939338205,-9.559725845201273,-4.294845451267453,9.219544457292887,-0.997462875773178,-0.9788797875150202,-0.018583088258157687,3
