,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
87,2,1,0.001,-6.907755279,0.994164609,0.993503337,-0.000661273,26.89944834,26.2160451,-0.683403244,9.219544457,0.801985317,0.789064733,0.012920584,0
88,2,97,0.003692809,-5.601367857,0.950030595,0.948277669,-0.001752927,5.70489561,5.101660206,-0.603235404,0,-0.329306325,0.744817454,-1.074123779,0
89,2,65,0.010106803,-4.594546526,0.140188438,0.142672946,0.002484508,-2.956842507,-2.877743866,0.079098641,9.055385138,-0.792998976,0.980020707,-1.773019683,0
90,4,7,0.001,-6.907755279,0.997107008,0.996556772,-0.000550236,45.69702195,41.25818123,-4.438840718,7.280109889,0.401470295,0.230884077,0.170586218,1
91,2,11,0.957024932,-0.043925836,0.993199322,0.992935824,-0.000263497,23.83976136,23.28855889,-0.551202462,0,-0.233404833,0.958610987,-1.19201582,0
92,2,53,0.101106301,-2.291582831,0.170183944,0.066653415,-0.10353053,-1.992638129,-3.283938236,-1.291300107,10,-0.965973349,0.505033987,-1.471007336,0
93,3,27,0.001251763,-6.683202349,0.995396301,0.995635226,0.000238924,32.46496033,20.91027162,-11.55468871,8.544003745,0.443999958,0.674585735,-0.230585777,0
94,2,91,0.597517788,-0.514971224,0.011544613,0.00674283,-0.004801783,-2.855583221,-4.757776187,-1.902192966,8.062257748,0.990502551,0.991736381,-0.00123383,0
95,2,29,0.001,-6.907755279,0.977865783,0.974537162,-0.003328621,24.63057269,21.56254736,-3.068025338,2.236067977,-0.570875879,0.893191589,-1.464067468,1
96,2,5,0.384386808,-0.956105922,0.993838971,0.993570898,-0.000268073,26.64176982,26.1293415,-0.512428314,0,0.473064986,0.628016143,-0.154951157,0
97,4,105,0.001982483,-6.223405373,0.00030728,0.000449259,0.00014198,-91.88055427,-97.88391938,-6.003365106,3.16227766,-0.999726889,-0.999304444,-0.000422446,0
98,4,105,0.021169852,-3.855177163,0.000912161,0.000698692,-0.00021347,-7.147020899,-9.045831228,-1.898810329,1,0.998413254,0.998784244,-0.000370991,0
99,2,9,0.001,-6.907755279,0.993428078,0.990678233,-0.002749844,26.31958701,23.987757,-2.331830011,6.403124237,0.779451006,-0.654623971,1.434074977,1
100,2,51,0.910013676,-0.094295651,0.433348104,0.399374753,-0.03397335,-2.353310104,-4.021496847,-1.668186743,0,-0.465702066,0.21133151,-0.677033577,0
101,4,29,0.001,-6.907755279,0.995745265,0.993054219,-0.002691046,37.45974583,28.27402212,-9.18572371,10,0.164383528,0.421025892,-0.256642364,1
102,4,9,0.01380662,-4.282607115,0.997309898,0.997467143,0.000157246,45.3162273,44.18723233,-1.128994974,1,0.179791474,0.378459014,-0.19866754,0
103,3,71,0.001240739,-6.69204772,0.937008437,0.73108066,-0.205927777,1.207251194,0.499012156,-0.708239038,9.486832981,0.990069537,-0.997437442,1.987506979,1
104,4,83,0.001025399,-6.88267374,0.010553268,0.007282095,-0.003271173,-4.051731661,-5.558328799,-1.506597138,5.656854249,0.991370857,0.993576073,-0.002205216,0
105,2,15,0.308413714,-1.17631317,0.993710225,0.99449481,0.000784585,27.26672935,25.8854473,-1.381282052,2.828427125,0.821378123,0.620247069,0.201131054,0
106,4,9,0.003363979,-5.694630765,0.996118282,0.995181569,-0.000936713,35.48976139,33.29824559,-2.191515805,3,0.919752112,0.972947605,-0.053195494,1
107,2,5,0.002904415,-5.841523241,0.994032731,0.993577524,-0.000455207,26.86598454,23.02227121,-3.843713329,2.236067977,0.341416167,0.314878612,0.026537555,0
108,2,7,0.001,-6.907755279,0.993507641,0.993407273,-0.000100368,25.38975659,25.17397173,-0.21578486,0,0.134527328,0.017620366,0.116906962,0
109,2,49,0.145977721,-1.924301267,0.98554397,0.982548314,-0.002995656,21.62335701,18.15470071,-3.4686563,2.828427125,0.226269044,-0.859719571,1.085988615,0
110,3,45,0.004578633,-5.386354848,0.996378717,0.994903869,-0.001474849,23.65535565,19.93446509,-3.720890556,9.486832981,-0.275229061,0.878307234,-1.153536295,0
111,2,83,0.001444079,-6.540283705,0.003403429,0.000935232,-0.002468197,-6.484278033,-7.346622224,-0.862344191,11,0.998995022,0.999158968,-0.000163946,0
