,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,label
25,25,Sat05_Kob_0301_3,4,41,0.000656851683743298,-7.328052312691613,0.995046313924669,0.988746932463858,-0.006299381460810993,41.655740557105275,25.365081543490486,-16.290659013614786,5.0990195135927845,0.605370302045991,0.20175234338683812,0.4036179586591528,29.192284707915906,24.216401973906514,-4.975882734009397,2.23606797749979,3.1622776601683795,1.0,5.0990195135927845,5.0,0,0,1
26,26,Sat05_Kob_0301_3,4,25,0.0011804122477769852,-6.741891538994572,0.9957616364726558,0.996080166380216,0.0003185299075598725,36.85506695935837,33.175279460821976,-3.679787498536392,6.4031242374328485,0.5133713685701189,-0.5028727204717987,1.0162440890419175,23.24437334889211,21.93118154432268,-1.3131918045694349,1.0,2.23606797749979,2.0,6.4031242374328485,5.385164807134505,0,0,1
27,27,Sat05_Kob_0301_3,4,33,0.0008001948008313775,-7.130655358898691,0.9962299085329714,0.9960983942766656,-0.00013151425630575364,33.72328062827545,31.848707416438952,-1.8745732118364984,0.0,0.9289932027911556,0.5080344928209289,0.4209587099702264,23.41193142732691,21.779722108016863,-1.6322093193100429,1.4142135623730951,3.6055512754639887,4.123105625617661,0.0,4.123105625617661,0,0,0
28,28,Sat05_Kob_0301_3,4,49,0.0005898395902477205,-7.435659938966897,0.9900727710445952,0.976007762378078,-0.014065008666517276,42.72100991437039,17.932286053401718,-24.788723860968677,5.0,0.6115738677062641,0.18725599485260366,0.4243178728536604,27.63933086016309,19.166292935968038,-8.473037924195047,9.486832980505136,1.4142135623730951,10.198039027185569,5.0,7.810249675906653,0,4,3
29,29,Sat05_Kob_0301_3,4,59,0.0012915729312226176,-6.651894476854259,0.9889041582025259,0.9229321807326609,-0.06597197746986494,42.93563955849356,11.507426972587853,-31.428212585905705,5.0,0.5168404911171646,0.11431246351226355,0.402528027604901,20.653820783748678,14.853386908350569,-5.8004338753981095,1.0,2.0,2.23606797749979,5.0,4.47213595499958,1,6,8
30,30,Tak16_cho_0329_9,2,23,0.10890598595142363,-2.217270283139517,0.9718934694660644,0.9145658960274872,-0.057327573438577084,12.495861315139086,7.692627918129151,-4.803233397009934,4.0,-0.7305804830509242,-0.9325488258386632,0.20196834278773912,14.052273904734893,12.826002482389956,-1.2262714223449347,1.4142135623730951,3.1622776601683795,4.0,4.0,0.0,1,6,7
31,31,Tak16_cho_0329_9,2,67,0.001,-6.907755278982138,0.9915414313191984,0.9886129883386556,-0.0029284429805427337,12.794453133023007,7.172140294351918,-5.622312838671085,10.63014581273465,-0.7551057300569772,-0.8820608452748576,0.1269551152178804,12.197066463919995,8.416673076438824,-3.7803933874811717,6.324555320336759,6.708203932499369,1.0,10.63014581273465,9.899494936611664,4,2,1
32,32,Tak16_cho_0329_9,2,13,0.001,-6.907755278982138,0.9889773010912696,0.9818480886856564,-0.00712921240561315,16.732984147974108,14.37605644340899,-2.3569277045651185,2.23606797749979,0.1927281087148656,-0.9374990898293338,1.1302271985441994,14.821675700946212,14.452335233257244,-0.3693404676889678,1.4142135623730951,1.0,1.0,2.23606797749979,3.1622776601683795,1,0,1
33,33,Tak16_cho_0329_9,2,53,0.001,-6.907755278982138,0.9254873258763956,0.924952494499152,-0.0005348313772435276,4.604279440236823,4.565710297666293,-0.038569142570530346,0.0,0.9788021759677256,0.9001100223500124,0.07869215361771331,9.005144471494779,8.986206681403694,-0.01893779009108876,1.0,2.23606797749979,1.4142135623730951,0.0,1.4142135623730951,0,0,7
34,34,Tak16_cho_0329_9,2,27,0.001,-6.907755278982138,0.9094546410034344,0.8698882512719299,-0.0395663897315045,6.9565090465276755,5.718139822211104,-1.2383692243165711,3.6055512754639887,-0.9394018013176891,-0.7160966596866051,-0.2233051416310841,12.134887393181796,11.981961229526865,-0.1529261636549304,1.0,8.48528137423857,9.219544457292887,3.6055512754639887,9.486832980505136,0,0,9
35,35,Yam05_Kob_0229_2,2,49,0.0005642701289616525,-7.4799774690674745,0.006145747212429553,0.003257451764078545,-0.0028882954483510077,-11.329823343050547,-16.65434260264165,-5.324519259591101,4.242640687119285,-0.965990370396772,-0.9716190791712594,0.005628708774487512,6.264629694629457,5.940877288840211,-0.32375240578924824,3.1622776601683795,2.8284271247461903,3.1622776601683795,4.242640687119285,2.0,1,1,2
36,36,Yam05_Kob_0229_2,2,65,0.3011777400970459,-1.200054689847711,0.0009152966788645855,0.0007011239654824973,-0.0002141727133820881,-18.676129114476016,-19.939890029895558,-1.263760915419546,2.8284271247461903,-0.995630113434028,-0.9963545410862252,0.0007244276521972681,3.4371678553794083,3.6808207576089216,0.2436529022295129,9.055385138137416,11.04536101718726,2.8284271247461903,2.8284271247461903,0.0,0,0,1
37,37,Yam05_Kob_0229_2,2,39,0.001,-6.907755278982138,0.017272401571447268,0.010026398395270196,-0.007246003176177074,-9.77368730474837,-14.717858764900402,-4.944171460152033,10.0,0.9178521304542052,-0.8122676963680747,1.73011982682228,10.014501312645477,10.51753898670738,0.503037674061904,3.6055512754639887,9.899494936611664,6.4031242374328485,10.0,3.6055512754639887,0,0,2
38,38,Yam05_Kob_0229_2,2,57,0.0014681760221719742,-6.523734449866277,0.002596311815790009,0.0012006783816613795,-0.0013956334341286294,-16.541938734631756,-20.77826042605071,-4.236321691418953,5.385164807134505,-0.9790335245914984,-0.9995419212316554,0.02050839664015713,5.39062056923693,4.609597380803693,-0.7810231884332355,5.0990195135927845,5.0,1.0,5.385164807134505,5.830951894845301,0,3,2
39,39,Yam05_Kob_0229_2,2,59,0.0011854894692078233,-6.7375995354946205,0.0015791054237531688,0.0012783112371225205,-0.0003007941866306485,-18.314496647659702,-22.433121082706815,-4.1186244350471135,1.0,-0.999697198299814,-0.9996585214501816,-3.867684963232421e-05,4.556844124248442,4.595840155814949,0.03899603156650855,1.4142135623730951,2.0,1.4142135623730951,1.0,1.0,1,2,2
40,40,Yam05_Kob_0229_2,2,13,0.001,-6.907755278982138,0.9542327416387022,0.7106468857533813,-0.2435858558853209,12.092164016215039,5.135159085558646,-6.957004930656392,6.0827625302982185,0.9352325644504494,0.8832688580922397,0.051963706358209794,14.590809038271004,16.294381680099686,1.7035726418286803,1.4142135623730951,2.23606797749979,2.23606797749979,6.0827625302982185,4.47213595499958,3,2,0
41,41,Yam05_Kob_0229_2,2,11,0.001,-6.907755278982138,0.9715100471555512,0.8520225607390891,-0.11948748641646224,14.086808288995796,8.45016431742304,-5.636643971572754,6.0827625302982185,0.5310020673355688,0.9011906338615104,-0.3701885665259418,14.892439293625618,15.662999470254116,0.7705601766285001,1.4142135623730951,2.8284271247461903,3.1622776601683795,6.0827625302982185,5.385164807134505,0,0,0
42,42,Yam05_Kob_0229_2,2,45,0.0007823501364327968,-7.153208172827783,0.010056674486139006,0.00610544012224945,-0.003951234363889554,-10.398939805694596,-13.389520220687599,-2.990580414993003,3.6055512754639887,-0.9501665389811766,-0.6099347391516166,-0.3402317998295601,6.765291302857371,7.36584168244366,0.6005503795862905,1.0,1.4142135623730951,1.0,3.6055512754639887,3.1622776601683795,0,0,2
