,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,own2before,own2after,own2diff,bdecav,wdecav,label
88,88,Sat05_Kob_0301_3,4,103,0.0019150272710248828,-6.258023415706862,0.0008923089854718791,0.0009186482191086976,2.6339233636818452e-05,-8.9370661364331,-9.870615071587498,-0.9335489351543984,12.649110640673518,-0.9979816447849434,-0.996495726745133,-0.0014859180398104632,3.3087529381778724,3.239960491147506,-0.0687924470303658,1.0,1.0,0.0,12.649110640673518,12.649110640673518,0,0,-0.3197728135907424,-0.3171219694902228,-0.6767229131543906,-0.007358917485630889,-0.0015269404528247266,0
3141,3141,Sat09_Sue_0302_3,4,23,0.0008390282746404409,-7.083266151659143,0.9968048501102912,0.9967271867565204,-7.766335377090705e-05,25.77602928866049,24.194882112407928,-1.5811471762525675,3.0,-0.793801538958166,-0.7972185366773352,0.003416997719169257,13.007899998377795,13.752016799537506,0.7441168011597092,1.0,1.0,0.0,3.0,3.0,0,0,0.5046428726662949,0.5089662811076705,-1.3018614093436305,-0.0011981991516714086,-0.0017606208314805414,0
13,13,Sat18_Kob_0304_4,4,67,0.0070726447738707066,-4.951520785026943,0.0015104086006374473,0.00218174506275548,0.0006713364621180329,-7.4784591026013105,-8.017244268961523,-0.5387851663602126,0.0,-0.9998271480413936,-0.9998241336695559,-3.014371837695151e-06,3.2163343858747866,3.4977596248704907,0.2814252389957041,7.071067811865476,7.071067811865476,0.0,0.0,0.0,0,0,-0.4257152808016705,-0.42571011113936935,-0.5741088528678855,0.00042611969171321706,-0.006722310619683522,0
1664,1664,Oon11_Kob_0329_11,2,71,0.001959596760571003,-6.235016561308487,0.8183967428146478,0.8143229728373559,-0.004073769977291919,4.004165945763479,3.8551491831880007,-0.14901676257547702,0.0,0.10345287085481007,0.0679673375681929,0.035485533286617174,14.614451706861127,14.402786408375945,-0.21166529848518326,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0,0,-0.5575371322977157,-0.5648924963860702,0.6255044698659087,-0.0011512205314841012,0.008325558454407488,0
689,689,Mas08_Sue_0328_2,4,5,0.8275045156478882,-0.1893407147695084,0.9978103004178552,0.9978244205133712,1.4120095515934851e-05,52.322273120522524,52.208278368185795,-0.11399475233673685,0.0,0.5533223578549561,0.5607747759638522,-0.007452418108896075,24.392978982956404,24.352472226414548,-0.04050675654185909,1.0,1.0,0.0,0.0,0.0,0,0,0.5265189934814742,0.5305174098545445,0.034255782482377935,-0.003023651078309486,-0.008902015763686209,0
2184,2184,Tak19_Sue_0330_1,3,27,0.001225242740474641,-6.704616299126148,0.9956465986158828,0.9951424424715248,-0.0005041561443579479,29.009568385655488,26.58329505485289,-2.4262733308026085,4.47213595499958,0.49450961083486,0.36228720895489824,0.1322224018799617,19.408061828945197,17.862888791012853,-1.5451730379323436,4.47213595499958,4.47213595499958,0.0,4.47213595499958,4.47213595499958,0,0,0.8402431735739632,0.8747260995491036,-0.4779559646190649,0.012326210962091966,-0.0015036978172204565,0
1727,1727,Oon09_Sue_0329_9,2,69,0.0016714660450816154,-6.394054166350768,0.005616635325548014,0.0023541298394186283,-0.0032625054861293856,-9.878641879820009,-11.356064190351255,-1.4774223105312458,8.602325267042627,0.5185208624229093,0.6628188686375059,-0.14429800621459676,7.549079723404603,7.683971412573017,0.13489168916841265,1.4142135623730951,1.4142135623730951,0.0,8.602325267042627,8.602325267042627,0,3,0.3575915712691637,0.3527225684999797,0.3052272973683423,-0.04481144875066861,-0.02245219050148389,0
2325,2325,Yas19_Kob_0328_19,2,101,0.0341072641313076,-3.3782448930006153,0.0025734269873638467,0.0017945773493153183,-0.0007788496380485287,-5.154644648085434,-5.893715482224892,-0.7390708341394571,7.280109889280517,0.4626729330926842,-0.010435842917708243,0.4731087760103924,4.257383442989725,3.6693011997951137,-0.5880822431946111,4.123105625617661,4.123105625617661,0.0,7.280109889280517,7.280109889280517,2,1,-0.17888855172339788,-0.05444385210228267,0.16845270880568966,-0.021712118886171083,0.00738421416690202,0
955,955,Sat10_cho_0302_4,4,31,0.001,-6.907755278982138,0.9710511363578614,0.9506614002650501,-0.020389736092811472,33.29420908819165,20.469330258009453,-12.824878830182193,6.0,0.5397969606545878,0.4131262456865774,0.1266707149680104,25.852821090476674,21.239189456464594,-4.61363163401208,1.0,1.0,0.0,6.0,6.0,0,0,0.4920634199336552,0.3682798569207804,-0.0789371742470778,-0.054748537927106065,-0.0031900280901195344,0
3128,3128,Sat09_Sue_0302_3,4,13,0.001,-6.907755278982138,0.99723882203815,0.9967914092121168,-0.0004474128260331112,38.35951314129681,34.580314878956386,-3.779198262340429,6.0,-0.30075330604725675,0.3090822525887117,-0.6098355586359685,19.00676422238933,18.568814341376214,-0.4379498810131111,1.0,1.0,0.0,6.0,6.0,1,0,-0.36228404473307946,0.25599111647996403,0.6713662973217911,-0.051571509308698534,-0.028275840259909805,0
1942,1942,Mas04_Sue_0327_2,4,35,0.0009270456503145397,-6.983507748395673,0.9975449573308004,0.9977278643938374,0.000182907063037141,60.14129477832543,57.71561394455472,-2.4256808337707128,0.0,0.7362408668525927,0.7274310124997568,0.008809854352835876,28.086227211392554,25.49335237848681,-2.592874832905739,1.0,1.0,0.0,0.0,0.0,0,0,0.3499238364587524,0.34083245044518434,0.3775071760410045,0.054274096621421915,0.04466171578571787,0
913,913,Tak14_Kob_0329_7,3,57,0.0012971166288480165,-6.6476114556797645,0.9977625509326312,0.9981265128080165,0.0003639618753853435,47.78112296753765,43.67377944749049,-4.107343520047152,8.0,0.8893824825123241,0.8960846448029154,-0.006702162290591396,13.725582305503476,13.941738866577756,0.21615656107428016,1.4142135623730951,1.4142135623730951,0.0,8.0,8.0,3,3,0.3218352595779942,0.3325301986859516,0.5742493852249212,-0.019770101534862417,0.08698447810642204,0
