name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,label
Sat13_cho_0303_3,41,0.00595368,0.00277309,-0.00318059,-21.88226291,-33.1902347,-11.30797179,1
Yam09_Sue_0301_3,27,0.998708244,0.998535569,-0.000172676,28.06371168,27.35218962,-0.711522058,1
Oon09_Sue_0329_9,85,0.002739999,0.002268292,-0.000471707,-7.185679824,-11.07493596,-3.889256139,1
Yam04_Kob_0229_1,13,0.999826571,0.999845972,1.94E-05,48.35048217,53.33109539,4.980613223,1
Oon16_cho_0329_16,69,0.985857667,0.937468537,-0.04838913,2.720253586,1.457315235,-1.262938351,1
Yas02_Kob_0328_2,53,0.98309736,0.981331496,-0.001765864,17.39866855,16.56435177,-0.834316777,1
Yas16_cho_0328_16,57,0.990635193,0.946230172,-0.044405022,9.668402576,4.589460296,-5.07894228,1
Tak08_Kob_0329_1,17,0.998639724,0.99866659,2.69E-05,27.80398168,29.32110328,1.517121597,1
Sat02_Ike_0229_2,59,0.572658481,0.356805405,-0.215853076,1.502920661,-1.264752502,-2.767673162,1
Mas05_cho_0327_3,39,0.999044909,0.999096986,5.21E-05,40.56568634,36.06650904,-4.499177305,1
Tak12_Sue_0329_5,1,0.999859943,0.999879651,1.97E-05,49.72044207,49.9833924,0.262950336,1
Sat05_Kob_0301_3,85,0.004466218,0.002363482,-0.002102735,-9.016169098,-9.994631201,-0.978462103,1
Sat04_cho_0301_2,31,0.997256056,0.996855676,-0.00040038,26.83158205,21.08006069,-5.751521359,1
Yas14_Kob_0328_14,57,0.998434815,0.998154429,-0.000280386,29.69869332,27.81576176,-1.882931564,1
Oon13_cho_0329_13,3,0.997374429,0.996582627,-0.000791802,21.13631941,18.70693929,-2.429380124,1
Sat13_cho_0303_3,99,0.001398991,0.001275237,-0.000123754,-31.21643708,-31.70540072,-0.488963636,1
Sat17_cho_0304_3,25,0.998163886,0.998026169,-0.000137717,23.79655524,20.87346814,-2.923087107,1
Yam06_Sue_0229_3,47,0.001905591,0.001994652,8.91E-05,-18.02303006,-19.17644291,-1.153412853,1
Tak08_Kob_0329_1,113,0.998887141,0.999200171,0.00031303,112.1601539,107.2624038,-4.897750177,1
Yas04_Sue_0328_4,103,0.002805953,0.003042932,0.000236979,-5.216866268,-5.243237339,-0.02637107,1
Sat15_Sue_0304_1,13,0.999534349,0.999589264,5.49E-05,40.4278518,38.80155891,-1.626292883,1
Oon05_Kob_0329_5,77,0.997232765,0.991600479,-0.005632286,16.41596311,12.31936254,-4.096600573,1
Sat04_Sue_0301_2,109,0.00421344,0.003141101,-0.001072339,-15.19096991,-32.40578093,-17.21481102,1
Yam09_Sue_0301_3,101,0.001568035,0.00163256,6.45E-05,-14.18264353,-15.28128256,-1.09863903,1
Oon03_Sue_0329_3,25,0.995131223,0.991263846,-0.003867376,15.80630943,13.27299025,-2.533319179,1
Yas16_cho_0328_16,105,0.003792646,0.004201577,0.000408931,-4.534337584,-4.983776296,-0.449438713,1
Sat11_Kob_0303_1,27,0.999437618,0.99924048,-0.000197138,41.85137978,41.21086639,-0.640513394,1
Sat10_cho_0302_4,107,0.000275787,0.000278186,2.40E-06,-49.47738789,-49.9889756,-0.511587717,1
Yas08_Kob_0328_8,97,0.989489301,0.888165977,-0.101323324,19.61801618,4.160472398,-15.45754379,1
Yas10_cho_0328_10,13,0.997337506,0.995439378,-0.001898128,19.68684714,17.29486772,-2.391979425,1
Tak14_Kob_0329_7,67,0.007005095,0.006192243,-0.000812852,-16.50190585,-15.49307039,1.008835459,1
Yas15_Sue_0328_15,83,0.007572367,0.00286232,-0.004710047,-3.793951035,-3.962395928,-0.168444894,1
Tak14_Kob_0329_7,69,0.009953859,0.011048748,0.001094889,-21.88880632,-20.48069162,1.408114693,1
Yas16_cho_0328_16,31,0.995785711,0.995030361,-0.000755351,23.70228728,22.52303592,-1.179251354,1
Koi04_Sue_0328_4,61,0.006523051,0.007218947,0.000695896,-13.53410528,-26.23656399,-12.70245871,1
Sat04_cho_0301_2,29,0.998130561,0.997231065,-0.000899496,31.07499184,24.65069828,-6.424293566,1
