,name,move,wr,tr
65,Sat09_Sue_0302_3,32,0.9957635633784281,16.38761813257993
66,Sat09_Sue_0302_3,10,0.9994411346520196,32.685550329894916
67,Sat09_Sue_0302_3,9,0.9996406507987882,40.489432317630374
68,Sat09_Sue_0302_3,16,0.9988678364228082,25.458932924985525
69,Sat09_Sue_0302_3,81,0.9991992870935462,18.77617199393057
70,Sat09_Sue_0302_3,42,0.9871445043954323,9.591221424589486
71,Sat09_Sue_0302_3,50,0.9771611366142333,6.495356843896267
72,Sat09_Sue_0302_3,15,0.999210274584361,33.967118275527596
73,Sat09_Sue_0302_3,92,0.996236107316403,8.830651744832053
74,Oon03_Sue_0329_3,13,0.9945681584403421,18.430859880578748
75,Oon03_Sue_0329_3,14,0.9932493471083956,15.355414236006018
76,Mas05_cho_0327_3,34,0.9988835814341498,32.797084580159115
77,Mas05_cho_0327_3,16,0.9996883121285844,48.90217888412392
78,Mas05_cho_0327_3,15,0.9998209169151282,58.70767727753083
79,Mas05_cho_0327_3,38,0.9991379820954022,32.08720597670551
80,Mas05_cho_0327_3,23,0.9997265452508755,53.15884565046525
81,Mas05_cho_0327_3,33,0.9991113200842427,43.31123618413993
82,Mas05_cho_0327_3,29,0.9995088615331567,50.28139384115178
83,Mas05_cho_0327_3,30,0.999427784533383,43.870214835865966
84,Mas05_cho_0327_3,37,0.9988181003167206,37.18997570238341
85,Mas05_cho_0327_3,24,0.9996571955501734,50.222704778973835
86,Mas04_cho_0327_2,39,0.9993444366402058,63.219582062571654
87,Mas04_cho_0327_2,40,0.9995712041940169,57.84936256162856
88,Mas04_cho_0327_2,11,0.9998614862565167,53.79146749438179
89,Mas04_cho_0327_2,17,0.9997681711069661,54.37505655468032
90,Mas04_cho_0327_2,12,0.9998388450811975,52.97720304870863
91,Mas04_cho_0327_2,8,0.9998661327535214,52.706362555114694
92,Mas04_cho_0327_2,15,0.9998038522699242,52.24183944025955
93,Mas04_cho_0327_2,16,0.9998041354226876,51.40064669314636
